Date,Open,High,Low,Close,Adj Close,Volume,Mode,Mean,Median
2019-09-06,2980.330078,2985.030029,2972.51001,2978.709961,2978.709961,3208280000,2978.709961,534715815.88167316,2979.5200194999998
2019-09-09,2988.429932,2989.429932,2969.389893,2978.429932,2978.429932,4002890000,2978.429932,667150817.3516035,2983.429932
2019-09-10,2971.01001,2979.389893,2957.01001,2979.389893,2979.389893,4390770000,2979.389893,731797477.6982832,2979.389893
2019-09-11,2981.409912,3000.929932,2975.310059,3000.929932,3000.929932,3927550000,3000.929932,654594159.9182945,3000.929932
2019-09-12,3009.080078,3020.73999,3000.919922,3009.570068,3009.570068,3791860000,3009.570068,631979174.980021,3009.570068
2019-09-13,3012.209961,3017.330078,3002.899902,3007.389893,3007.389893,3520060000,3007.389893,586679174.5366212,3009.799927
2019-09-16,2996.409912,3002.189941,2990.669922,2997.959961,2997.959961,4274640000,2997.959961,712442497.5316161,2997.959961
2019-09-17,2995.669922,3006.209961,2993.72998,3005.699951,3005.699951,3671840000,3005.699951,611975834.5016276,3005.699951
2019-09-18,3001.5,3007.830078,2978.570068,3006.72998,3006.72998,3435540000,3006.72998,572592500.2266843,3006.72998
2019-09-19,3010.360107,3021.98999,3003.159912,3006.790039,3006.790039,3251290000,3006.790039,541884174.8483478,3008.575073
2019-09-20,3008.419922,3016.370117,2984.679932,2992.070068,2992.070068,6094740000,2992.070068,1015792498.935018,3000.244995
2019-09-23,2983.5,2999.149902,2982.22998,2991.780029,2991.780029,3186590000,2991.780029,531100824.73999,2991.780029
2019-09-24,3002.429932,3007.97998,2957.72998,2966.600098,2966.600098,3868160000,2966.600098,644695816.8900146,2984.515015
2019-09-25,2968.350098,2989.820068,2952.860107,2984.870117,2984.870117,3318870000,2984.870117,553147480.1284178,2984.870117
2019-09-26,2985.72998,2987.280029,2963.709961,2977.620117,2977.620117,3077240000,2977.620117,512875815.3267007,2981.6750485000002
2019-09-27,2985.469971,2987.310059,2945.530029,2961.790039,2961.790039,3243650000,2961.790039,540610806.9816896,2973.630005
2019-09-30,2967.070068,2983.850098,2967.070068,2976.73999,2976.73999,3247610000,"2967.070068,2976.73999",541270811.9117023,2976.73999
2019-10-01,2983.689941,2992.530029,2938.699951,2940.25,2940.25,3558040000,2940.25,593009132.5699868,2961.9699705000003
2019-10-02,2924.780029,2924.780029,2874.929932,2887.610107,2887.610107,3912520000,"2924.780029,2887.610107",652089083.2850341,2906.195068
2019-10-03,2885.379883,2911.129883,2855.939941,2910.629883,2910.629883,3503640000,2910.629883,583942412.2849122,2910.629883
2019-10-04,2918.560059,2953.73999,2918.560059,2952.01001,2952.01001,2990830000,"2918.560059,2952.01001",498474115.8133547,2952.01001
2019-10-07,2944.22998,2959.75,2935.679932,2938.790039,2938.790039,2940140000,2938.790039,490025786.20666504,2941.5100095
2019-10-08,2920.399902,2925.469971,2892.659912,2893.060059,2893.060059,3356450000,2893.060059,559410754.1083171,2906.7299805000002
2019-10-09,2911.100098,2929.320068,2907.409912,2919.399902,2919.399902,2726820000,2919.399902,454472431.1049803,2919.399902
2019-10-10,2918.550049,2948.459961,2917.120117,2938.129883,2938.129883,3217250000,2938.129883,536210776.73164886,2938.129883
2019-10-11,2963.070068,2993.280029,2963.070068,2970.27002,2970.27002,3580460000,"2963.070068,2970.27002",596745809.9933676,2970.27002
2019-10-14,2965.810059,2972.840088,2962.939941,2966.149902,2966.149902,2557020000,2966.149902,426172472.314982,2966.149902
2019-10-15,2973.610107,3003.280029,2973.610107,2995.679932,2995.679932,3340740000,"2973.610107,2995.679932",556792490.3100178,2995.679932
2019-10-16,2989.679932,2997.540039,2985.199951,2989.689941,2989.689941,3222570000,2989.689941,537097491.966634,2989.689941
2019-10-17,3000.77002,3008.290039,2991.790039,2997.949951,2997.949951,3115960000,2997.949951,519329166.125,2999.3599855
2019-10-18,2996.840088,3000.0,2976.310059,2986.199951,2986.199951,3264290000,2986.199951,544050824.2583414,2991.5200194999998
2019-10-21,2996.47998,3007.330078,2995.350098,3006.719971,3006.719971,3271620000,3006.719971,545272502.1000164,3006.719971
2019-10-22,3010.72998,3014.570068,2995.040039,2995.98999,2995.98999,3523890000,2995.98999,587317502.0533445,3003.359985
2019-10-23,2994.01001,3004.780029,2991.209961,3004.52002,3004.52002,3392870000,3004.52002,565480833.17334,3004.52002
2019-10-24,3014.780029,3016.070068,3000.419922,3010.290039,3010.290039,3692600000,3010.290039,615435841.9750162,3012.535034
2019-10-25,3003.320068,3027.389893,3001.939941,3022.550049,3022.550049,3370370000,3022.550049,561730846.2916666,3022.550049
2019-10-28,3032.120117,3044.080078,3032.120117,3039.419922,3039.419922,3521230000,"3032.120117,3039.419922",586874197.860026,3039.419922
2019-10-29,3035.389893,3047.870117,3034.810059,3036.889893,3036.889893,3589930000,3036.889893,598324198.6416425,3036.889893
2019-10-30,3039.73999,3050.100098,3025.959961,3046.77002,3046.77002,3776030000,3046.77002,629340868.2233481,3046.77002
